DLiP-ID,T004HP
DLiP-Mol-ID,18682
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10ClN3/c16-13-8-4-7-12-11(9-17)14(15(18)19(12)13)10-5-2-1-3-6-10/h1-8H,18H2"
Standard Inchi Key(RDKit),ODLWJDMOWAOUTP-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1c(-c2ccccc2)c(N)n2c(Cl)cccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),267.719
MW Monoisotopic(RDKit),267.056325
MolLogP(RDKit),3.71358
XLogP(SDF),
XLogP(CDK),4.315
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),54.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.683424712872119
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Neuropilin-1/VEGF-A
Common Target Pref Name,Neuropilin-1/VEGF-A
RDKit Descriptors
Ipc,35734.75469051646
qed,0.6834247128721191
Chi0,13.405412915006313
Chi1,9.236382105218448
TPSA,54.22
Chi0n,9.968544086715777
Chi0v,10.724473032734233
Chi1n,5.776785100478595
Chi1v,6.154749573487822
Chi2n,4.182227059903989
Chi2v,4.569475801085685
Chi3n,3.1198187924048733
Chi3v,3.414837801020319
Chi4n,2.3009363983696156
Chi4v,2.555781127882651
MolMR,76.97040000000003
MolWt,267.719
fr_SH,0
Kappa1,11.639211875743166
Kappa2,4.342840868636527
Kappa3,1.656448332176957
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,797.6090179881784
MolLogP,3.713580000000001
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.4711610447436425
SMR_VSA1,0.0
SMR_VSA2,5.261891554738487
SMR_VSA3,4.400694606261793
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,5.733667477162185
SMR_VSA7,59.24749785628267
SMR_VSA8,0.0
SMR_VSA9,17.196124296186266
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,115.00733644053308
NHOHCount,2
PEOE_VSA1,5.733667477162185
PEOE_VSA2,4.400694606261793
PEOE_VSA3,0.0
