DLiP-ID,T004IF
DLiP-Mol-ID,18848
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H29NO5S/c1-18-8-14-21(15-9-18)30(26,27)24-16-4-3-7-22(24)23(25)29-17-5-6-19-10-12-20(28-2)13-11-19/h8-15,22H,3-7,16-17H2,1-2H3"
Standard Inchi Key(RDKit),OEUIAKHIMKCDRU-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)c2ccc(C)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),431.554
MW Monoisotopic(RDKit),431.176644028
MolLogP(RDKit),3.72282
XLogP(SDF),
XLogP(CDK),4.358
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),72.91
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.470462709812139
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,5410765.7656748695
qed,0.470462709812139
Chi0,21.562267164498685
Chi1,14.413052031452313
TPSA,72.91
Chi0n,17.542603229295604
Chi0v,18.359099810223334
Chi1n,10.29696540666258
Chi1v,11.73702873546322
Chi2n,7.559513637875562
Chi2v,9.450068238747958
Chi3n,5.366500953605195
Chi3v,7.288899614447925
Chi4n,3.611348365604046
Chi4v,5.258112733198597
MolMR,114.98380000000004
MolWt,431.5540000000001
fr_SH,0
Kappa1,22.308463960105065
Kappa2,10.087003004922458
Kappa3,5.401341087996666
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,938.5636859938782
MolLogP,3.722820000000003
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5786679165040136
SMR_VSA1,22.686060076000857
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,49.96516961898641
SMR_VSA6,20.26143591170303
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,178.40625155207042
NHOHCount,0
PEOE_VSA1,9.473725907600098
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,29.828919765543436
PEOE_VSA7,68.85676507986412
PEOE_VSA8,6.544756405912575
PEOE_VSA9,18.612162981308227
RingCount,3
SMR_VSA10,15.992596441359433
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,431.17664402799994
NumHDonors,0
PEOE_VSA10,11.791352662431866
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.736862953800049
SlogP_VSA2,44.99559500442801
SlogP_VSA3,25.975512914205463
SlogP_VSA4,6.923737199690624
SlogP_VSA5,36.81018947509803
SlogP_VSA6,53.42642002321065
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,22.034437270507393
EState_VSA2,11.502365440030694
EState_VSA3,19.386399651764595
EState_VSA4,36.138879685455926
EState_VSA5,4.305215991296234
EState_VSA6,31.37526581512397
EState_VSA7,31.189205473537065
EState_VSA8,0.0
EState_VSA9,9.473725907600098
SlogP_VSA10,0.0
