DLiP-ID,T004IM
DLiP-Mol-ID,18869
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H21N3O4/c25-19(26)6-8-24-12-15-3-4-17(10-18(15)21(24)28)23-20(27)14-2-1-13-5-7-22-11-16(13)9-14/h1-4,9-10,22H,5-8,11-12H2,(H,23,27)(H,25,26)"
Standard Inchi Key(RDKit),OFMXNBIPYOLGBH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CCN1Cc2ccc(NC(=O)c3ccc4c(c3)CNCC4)cc2C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),379.416
MW Monoisotopic(RDKit),379.153206152
MolLogP(RDKit),2.0151
XLogP(SDF),
XLogP(CDK),1.126
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),98.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.738214011391156
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3091765.854830313
qed,0.7382140113911563
Chi0,19.672997628507925
Chi1,13.50804039084698
TPSA,98.74000000000001
Chi0n,15.325914364648549
Chi0v,15.325914364648549
Chi1n,9.289429650214242
Chi1v,9.289429650214242
