DLiP-ID,T004OA
DLiP-Mol-ID,20258
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H22Cl2N2O5S/c1-10(2)14(9-16(22)23)20-17(24)15-4-3-5-21(15)27(25,26)13-7-11(18)6-12(19)8-13/h6-8,10,14-15H,3-5,9H2,1-2H3,(H,20,24)(H,22,23)/t14-,15-/m0/s1"
Standard Inchi Key(RDKit),ORZLHZNPLLZPSZ-GJZGRUSLSA-N
Canonical SMILES(RDKit),CC(C)[C@H](CC(=O)O)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),437.345
MW Monoisotopic(RDKit),436.062648164
MolLogP(RDKit),2.762
XLogP(SDF),
XLogP(CDK),2.79
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),103.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.682940367363893
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,659853.7196937846
qed,0.6829403673638926
Chi0,20.35300667219901
Chi1,12.517781639083363
TPSA,103.78
Chi0n,14.984126329221633
Chi0v,17.31248080218627
Chi1n,8.521762801379479
Chi1v,10.717755076198573
Chi2n,6.835894101528322
Chi2v,9.599320263344689
Chi3n,4.475922154069212
Chi3v,6.798293328803531
Chi4n,3.0231664315847935
Chi4v,5.406805135172039
MolMR,102.39730000000003
MolWt,437.34500000000014
fr_SH,0
Kappa1,21.94455557941349
Kappa2,8.769863433034002
Kappa3,5.343030423700974
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,808.36271178679
MolLogP,2.7620000000000005
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.2463104119303186
SMR_VSA1,23.113398747313287
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,5.917906046161393
SMR_VSA5,50.089104401972975
SMR_VSA6,6.544756405912575
SMR_VSA7,28.244367832867482
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.23421737660382
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,9.589074368143644
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,37.04935417984628
PEOE_VSA7,36.95865049739824
PEOE_VSA8,22.631863862543188
PEOE_VSA9,11.316305098443785
RingCount,2
SMR_VSA10,45.10165595117597
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,436.062648164
NumHDonors,2
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,48.334463451977726
SlogP_VSA3,19.612365521551226
SlogP_VSA4,5.917906046161393
SlogP_VSA5,33.10993926815928
SlogP_VSA6,23.094584680902603
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,33.98345782900686
EState_VSA2,33.8242341780004
EState_VSA3,12.841643245852019
EState_VSA4,4.305215991296234
EState_VSA5,18.19910120538483
EState_VSA6,13.847474399381248
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,28.30840717530574
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,23.20187978046503
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,27.09887198706643
VSA_EState9,41.019813121450206
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,18.00687135247258
EState_VSA11,0.0
FractionCSP3,0.5294117647058824
VSA_EState10,7.853537113705595
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,1
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-1.3499999999999996
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,27
