DLiP-ID,T004OS
DLiP-Mol-ID,20401
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19Cl2FN2O5S/c21-13-9-14(22)11-16(10-13)31(29,30)25-6-2-5-18(25)19(26)24-17(20(27)28)8-12-3-1-4-15(23)7-12/h1,3-4,7,9-11,17-18H,2,5-6,8H2,(H,24,26)(H,27,28)/t17-,18-/m0/s1"
Standard Inchi Key(RDKit),OSOUXNDWVSWDJT-ROUUACIJSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1cccc(F)c1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),489.352
MW Monoisotopic(RDKit),488.037576288
MolLogP(RDKit),3.0977
XLogP(SDF),
XLogP(CDK),3.649
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),103.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.622446070584242
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,6664377.272614758
qed,0.622446070584242
Chi0,22.75878406613483
Chi1,14.573424531749192
TPSA,103.78
Chi0n,16.09414160979974
Chi0v,18.422496082764376
Chi1n,9.33275350581224
Chi1v,11.528745780631334
Chi2n,7.112389580298503
Chi2v,9.875815742114867
Chi3n,4.892436840943619
Chi3v,7.214808015677939
Chi4n,3.4703541143029915
Chi4v,5.853992817890238
MolMR,113.04630000000004
MolWt,489.3520000000002
fr_SH,0
Kappa1,23.462843649856637
Kappa2,9.51882687210389
Kappa3,5.538963853402139
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1092.2490840174619
MolLogP,3.0977000000000023
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.79742111753173
SMR_VSA1,27.50381379498811
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,36.24163000259173
SMR_VSA6,6.544756405912575
SMR_VSA7,63.89050843945681
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,188.36202064240427
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,17.60274921607558
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,35.33461391738825
PEOE_VSA7,48.73693007985707
PEOE_VSA8,23.01084465632124
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,45.10165595117597
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,488.037576288
NumHDonors,2
PEOE_VSA10,17.900902499341818
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,48.334463451977726
SlogP_VSA3,26.033187144477235
SlogP_VSA4,5.817220841045895
SlogP_VSA5,18.405094737549014
SlogP_VSA6,47.360052954749044
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,3
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,39.800678670052754
EState_VSA2,34.327149754765024
EState_VSA3,11.984273114623004
EState_VSA4,4.305215991296234
EState_VSA5,36.39820241076966
EState_VSA6,6.06636706846161
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,23.20187978046503
