DLiP-ID,T004VI
DLiP-Mol-ID,21556
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H20O6/c1-19-14-6-5-12(9-13(14)18)23-10-11-7-15(20-2)17(22-4)16(8-11)21-3/h5-9,18H,10H2,1-4H3"
Standard Inchi Key(RDKit),PJCOYSVLNFEHHI-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(OCc2cc(OC)c(OC)c(OC)c2)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),320.341
MW Monoisotopic(RDKit),320.12598836
MolLogP(RDKit),3.0056
XLogP(SDF),
XLogP(CDK),2.633
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.845757460769609
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,151080.0907020418
qed,0.8457574607696094
Chi0,16.81962647737941
Chi1,11.1212534604299
TPSA,66.38000000000001
Chi0n,13.582313174953951
Chi0v,13.582313174953951
Chi1n,6.912183621045014
Chi1v,6.912183621045014
Chi2n,4.655918501552104
Chi2v,4.655918501552104
Chi3n,3.2803335303583965
Chi3v,3.2803335303583965
Chi4n,2.144969810843634
Chi4v,2.144969810843634
MolMR,85.08880000000005
MolWt,320.341
fr_SH,0
Kappa1,16.60778135983345
Kappa2,7.486864947105045
Kappa3,3.713826349987166
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,643.1234350676551
MolLogP,3.0056000000000016
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1827554004244782
SMR_VSA1,28.79084216384095
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.606881964512918
SMR_VSA6,28.439190165110134
SMR_VSA7,35.89528683400505
SMR_VSA8,0.0
SMR_VSA9,34.49707099970343
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,5
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.67516779727444
NHOHCount,1
PEOE_VSA1,28.79084216384095
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,29.828919765543436
PEOE_VSA8,6.06636706846161
PEOE_VSA9,28.439190165110134
RingCount,2
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,320.12598836
NumHDonors,1
PEOE_VSA10,12.356393797796823
PEOE_VSA11,22.99804733313562
PEOE_VSA12,5.749511833283905
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,23.684314769000245
SlogP_VSA2,33.54571755995084
SlogP_VSA3,6.606881964512918
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,30.33183534230805
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,4
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,12.356393797796823
EState_VSA3,28.747559166419524
EState_VSA4,5.563451491696996
EState_VSA5,13.176164609739143
EState_VSA6,33.46212676075582
EState_VSA7,12.13273413692322
EState_VSA8,0.0
EState_VSA9,23.684314769000245
SlogP_VSA10,0.0
SlogP_VSA11,34.49707099970343
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,54.66666666666666
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,5.106527394840706
EState_VSA11,0.0
FractionCSP3,0.29411764705882354
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.7600000000000002
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,23
HeavyAtomMolWt,300.18100000000004
MaxEStateIndex,9.759661822131157
MinEStateIndex,0.023048173100482128
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,0.782608695652174
FpDensityMorgan2,1.391304347826087
FpDensityMorgan3,1.8695652173913044
MaxPartialCharge,0.2027783169021665
MinPartialCharge,-0.5041622860911256
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,9.759661822131157
MinAbsEStateIndex,0.023048173100482128
NumAliphaticRings,0
NumRotatableBonds,7
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.5041622860911256
MinAbsPartialCharge,0.2027783169021665
NumRadicalElectrons,0
NumValenceElectrons,124
fr_para_hydroxylation,0
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,1
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,0
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,320.1259883600006
MZ,0.6589147286821706
Mi,1.1257956488003025
Mm,0.6202473314190673
Mp,0.6480693496727478
Mv,0.6210947131246479
SZ,28.333333333333336
