DLiP-ID,T004XQ
DLiP-Mol-ID,21633
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H14N4O2/c1-2-19-12(18)7-8-17-9-15-13(16-17)10-5-3-4-6-11(10)14/h3-9H,2,14H2,1H3/b8-7+"
Standard Inchi Key(RDKit),PMTYRSVJRMNIIS-BQYQJAHWSA-N
Canonical SMILES(RDKit),CCOC(=O)/C=C/n1cnc(-c2ccccc2N)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),258.281
MW Monoisotopic(RDKit),258.111675688
MolLogP(RDKit),1.5611
XLogP(SDF),
XLogP(CDK),1.756
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.510913381923286
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CRM1/Rev
Common Target Pref Name,CRM1/Rev
RDKit Descriptors
Ipc,28516.90415921367
qed,0.5109133819232863
Chi0,13.664925939000156
Chi1,9.202708600407234
TPSA,83.03
Chi0n,10.484046302131157
Chi0v,10.484046302131157
Chi1n,5.8138743426992505
Chi1v,5.8138743426992505
Chi2n,3.7032242120744194
Chi2v,3.7032242120744194
Chi3n,2.3601587494139222
Chi3v,2.3601587494139222
Chi4n,1.4983282096282016
Chi4v,1.4983282096282016
MolMR,71.83340000000001
MolWt,258.28099999999995
fr_SH,0
Kappa1,12.81730673024945
Kappa2,5.811255617204507
Kappa3,3.1851419278228343
fr_ArN,1
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,604.1956146766182
MolLogP,1.5611
NOCount,6
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.159590968704221
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,14.76446326439343
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,12.340549441675103
SMR_VSA7,36.66880845544486
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.06544432983054
NHOHCount,2
PEOE_VSA1,10.470530430962235
PEOE_VSA2,0.0
PEOE_VSA3,14.460318640164214
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,12.13273413692322
PEOE_VSA7,19.056471336613843
PEOE_VSA8,23.526812763034886
PEOE_VSA9,6.606881964512918
RingCount,2
SMR_VSA10,17.85664645245586
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,258.111675688
NumHDonors,1
PEOE_VSA10,6.3273200747645415
PEOE_VSA11,5.824404497999927
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.733667477162185
SlogP_VSA2,27.340650516858197
SlogP_VSA3,9.53140013787187
SlogP_VSA4,0.0
SlogP_VSA5,6.923737199690624
SlogP_VSA6,36.66880845544486
SlogP_VSA7,0.0
SlogP_VSA8,17.58781087951737
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,0.0
EState_VSA3,18.118672737196405
EState_VSA4,5.563451491696996
EState_VSA5,23.285098006564056
EState_VSA6,12.990104268152233
EState_VSA7,18.19910120538483
EState_VSA8,10.082660329248245
EState_VSA9,10.470530430962235
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.4292592592592592
VSA_EState9,45.23740740740741
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,4.794537184071822
EState_VSA11,0.0
FractionCSP3,0.15384615384615385
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.63
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,19
HeavyAtomMolWt,244.16899999999995
MaxEStateIndex,11.156731632097793
MinEStateIndex,-0.41780092592592566
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.4736842105263157
FpDensityMorgan2,2.263157894736842
FpDensityMorgan3,3.0
MaxPartialCharge,0.3317941840179096
MinPartialCharge,-0.4627850472400036
NumAromaticRings,2
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.156731632097793
MinAbsEStateIndex,0.3396124775029896
NumAliphaticRings,0
NumRotatableBonds,4
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4627850472400036
MinAbsPartialCharge,0.3317941840179096
NumRadicalElectrons,0
NumValenceElectrons,98
fr_para_hydroxylation,1
NumAromaticCarbocycles,1
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,1
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,0
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,258.11167568800005
MZ,0.6868686868686869
Mi,1.1360228090160684
Mm,0.6516274223376047
Mp,0.6722754853928506
Mv,0.6440680939252078
SZ,22.666666666666668
Si,37.48875269753026
Sm,21.503704937140956
Sp,22.185091017964073
Sv,21.254247099531856
nB,0
nC,13
nF,0
nH,14
nI,0
nN,4
nO,2
nP,0
nS,0
nX,0
ABC,14.28003499417355
AMW,7.821565929939395
IC0,1.6683733543693424
IC1,3.6846739556227917
IC2,4.366681150370566
IC3,4.718488437474714
IC4,4.779094498080775
IC5,4.779094498080775
MID,38.080896055154874
Mpe,0.9862150920974451
Mse,1.0160233066278224
NdO,1
NdS,0
NsF,0
NsI,0
NtN,0
SMR,71.83340000000001
SdO,11.156731632097793
SdS,0
Spe,32.54509803921569
SsF,0
SsI,0
Sse,33.52876911871814
StN,0
fMF,0.3333333333333333
nBr,0
nCl,0
AMID,2.0042576871134146
BIC0,0.3114059094398419
BIC1,0.6877532784463295
BIC2,0.8150515658283091
BIC3,0.8807172442577297
BIC4,0.8920295116055443
BIC5,0.8920295116055443
CIC0,3.3760207649891107
CIC1,1.3597201637356617
CIC2,0.6777129689878878
CIC3,0.32590568188373936
CIC4,0.2652996212776788
CIC5,0.2652996212776788
GGI1,3.5
GGI2,2.000000000000001
GGI3,1.0972222222222223
GGI4,0.7122222222222223
GGI5,0.4761111111111111
GGI6,0.21315192743764166
GGI7,0.14671910430839002
GGI8,0.16276927437641722
GGI9,0.06437500000000002
JGI1,0.17500000000000004
JGI2,0.07692307692307696
JGI3,0.04571759259259259
JGI4,0.03237373737373738
JGI5,0.02505847953216374
JGI6,0.014210128495842779
JGI7,0.01222659202569917
JGI8,0.014797206761492475
JGI9,0.006437500000000001
MIC0,15.978485029461794
MIC1,34.23941066288756
MIC2,38.13096101035175
MIC3,39.1524312406012
MIC4,39.21352214969212
MIC5,39.21352214969212
MPC2,26
MPC3,32
MPC4,39
MPC5,42
MPC6,42
MPC7,44
MPC8,43
MPC9,41
Mare,1.000969696969697
NaaN,2
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,0
NsSH,0
NssO,1
NssS,0
NtCH,0
NtsC,0
RNCG,0.2390469366043897
RPCG,0.17138493074842465
SIC0,0.33073810548758753
SIC1,0.7304492607907902
SIC2,0.8656502737589268
SIC3,0.9353925022168593
SIC4,0.9474070393787114
SIC5,0.9474070393787114
SaaN,8.344072578105315
SaaO,0
SaaS,0
Sare,33.032000000000004
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,0
SsSH,0
SssO,4.766897171875076
SssS,0
StCH,0
StsC,0
TIC0,55.0563206941883
TIC1,121.59424053555213
TIC2,144.10047796222867
TIC3,155.71011843666557
TIC4,157.71011843666557
TIC5,157.71011843666557
Vabc,230.00363262207108
WPol,24
apol,37.04910199999998
bpol,18.928897999999997
nRot,4
ABCGG,12.269696669790848
ATS0Z,806.0
ATS0d,106.0
ATS0i,5453.0365803544855
ATS0m,3186.378667
ATS0p,48.606688667886004
ATS0s,158.61111111111111
ATS0v,7346.930391589757
ATS1Z,891.0
ATS1d,127.0
ATS1i,5153.916399702401
ATS1m,3398.2808559999994
ATS1p,58.96849632000001
ATS1s,124.97222222222223
ATS1v,8863.505729982244
ATS2Z,1224.0
ATS2d,185.0
ATS2i,8542.846343152145
ATS2m,4599.54519
ATS2p,80.780838976245
ATS2s,203.94444444444446
ATS2v,11907.097102460373
ATS3Z,1158.0
ATS3d,188.0
ATS3i,10003.20596656854
ATS3m,4247.05852
ATS3p,83.32522006849
ATS3s,206.50000000000003
ATS3v,11923.23772425235
ATS4Z,1135.0
ATS4d,172.0
ATS4i,9678.823638862446
ATS4m,4121.666294
ATS4p,77.62888508824501
ATS4s,226.33333333333334
ATS4v,11054.978212797403
ATS5Z,1008.0
ATS5d,153.0
ATS5i,9605.854941048143
ATS5m,3621.7679109999995
ATS5p,69.080491456792
ATS5s,213.77777777777777
ATS5v,9806.504656585432
ATS6Z,799.0
ATS6d,128.0
ATS6i,8016.928266613591
ATS6m,2852.2783509999995
ATS6p,58.130690250792
ATS6s,162.44444444444446
ATS6v,8114.740126799833
ATS7Z,615.0
ATS7d,106.0
ATS7i,6691.766925168692
ATS7m,2175.3521920000003
ATS7p,51.992809678792
ATS7s,113.77777777777777
ATS7v,6996.854268732184
ATS8Z,596.0
ATS8d,96.0
ATS8i,6536.687960895291
ATS8m,2100.901883
ATS8p,47.636761688792
ATS8s,123.66666666666669
ATS8v,6462.039529723009
C1SP1,0
C1SP2,3
C1SP3,2
C2SP1,0
C2SP2,6
C2SP3,0
C3SP2,1
C3SP3,0
C4SP3,0
FCSP3,0.15384615384615385
GGI10,0.04948474645444342
JGI10,0.007069249493491918
JGT10,0.409813563198097
Kier1,15.39
Kier2,7.695266272189349
Kier3,4.5
MAXdO,11.156731632097793
MID_C,26.32004198488467
MID_N,8.095544954952265
MID_O,3.665309115317937
MID_X,0.0
MID_h,11.760854070270202
MINdO,11.156731632097793
MPC10,37
MWC01,20.0
MWC02,4.532599493153256
MWC03,5.342334251964811
MWC04,6.184148890937483
MWC05,7.016609683894219
MWC06,7.8674885686991285
MWC07,8.710949125835855
MWC08,9.566685261452934
MWC09,10.41664046606121
MWC10,11.27546744880796
NaaCH,5
NaaNH,0
NaaSe,0
NaaaC,0
NaasC,3
NaasN,1
NdCH2,0
NddsN,0
NdsCH,2
NdssC,1
NdssS,0
NsCH3,1
NsNH2,1
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,0
NssPH,0
NssSe,0
NsssB,0
NsssN,0
NsssP,0
SLogP,1.5611
SRW02,3.713572066704308
SRW03,0.0
SRW04,4.976733742420574
