DLiP-ID,T005YU
DLiP-Mol-ID,23233
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H25N3O2/c21-16(22)13-19-14-1-5-17(6-2-14)7-11-20(12-8-17)15-3-9-18-10-4-15/h3-4,9-10,14,19H,1-2,5-8,11-13H2,(H,21,22)"
Standard Inchi Key(RDKit),SOVYOPFEGIGRIO-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CNC1CCC2(CC1)CCN(c1ccncc1)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),303.406
MW Monoisotopic(RDKit),303.19467704
MolLogP(RDKit),2.285
XLogP(SDF),
XLogP(CDK),-0.102
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),65.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.89316299614057
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,134607.44092908408
qed,0.8931629961405702
Chi0,15.416002794556722
Chi1,10.668233757796585
TPSA,65.46000000000001
Chi0n,13.000601453590798
Chi0v,13.000601453590798
Chi1n,8.270700047198362
Chi1v,8.270700047198362
Chi2n,6.741373722514119
Chi2v,6.741373722514119
Chi3n,5.440196648658349
Chi3v,5.440196648658349
Chi4n,3.960068586273006
Chi4v,3.960068586273006
MolMR,86.01150000000005
MolWt,303.40600000000006
fr_SH,0
Kappa1,15.282399930999288
Kappa2,6.648733236085874
Kappa3,3.58008738803408
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
