DLiP-ID,T006LK
DLiP-Mol-ID,24198
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H33NO6S/c1-25(2,3)34(31,32)26(15-7-8-16-26)24(30)27-21(23(28)29)17-18-11-13-19(14-12-18)20-9-5-6-10-22(20)33-4/h5-6,9-14,21H,7-8,15-17H2,1-4H3,(H,27,30)(H,28,29)/t21-/m0/s1"
Standard Inchi Key(RDKit),VFYLHJRNSIZWQQ-NRFANRHFSA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)C2(S(=O)(=O)C(C)(C)C)CCCC2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),487.618
MW Monoisotopic(RDKit),487.202858776
MolLogP(RDKit),4.0002
XLogP(SDF),
XLogP(CDK),4.125
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),109.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.582455741796688
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,27373027.225186218
qed,0.5824557417966878
Chi0,25.14805360212559
Chi1,15.92567069963928
TPSA,109.77
Chi0n,20.128389666922505
Chi0v,20.944886247850228
Chi1n,11.430785353375688
Chi1v,12.91394860097008
Chi2n,9.782822973680707
Chi2v,12.795915834880407
Chi3n,6.560795142535791
Chi3v,9.795619669313227
Chi4n,4.57911150382972
Chi4v,6.88045372177297
MolMR,131.57230000000004
MolWt,487.61800000000034
fr_SH,0
Kappa1,25.747467122948315
Kappa2,9.779767168887119
Kappa3,4.8233284332403175
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1142.5584678168652
MolLogP,4.000200000000002
NOCount,7
