DLiP-ID,T006LX
DLiP-Mol-ID,24221
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N6/c1-24-11-13-25(14-12-24)19-17(15-7-3-2-4-8-15)22-23-18(21-19)16-9-5-6-10-20-16/h2-10H,11-14H2,1H3"
Standard Inchi Key(RDKit),VGIAVTRUVBILOH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1CCN(c2nc(-c3ccccn3)nnc2-c2ccccc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),332.411
MW Monoisotopic(RDKit),332.17494464
MolLogP(RDKit),2.3524
XLogP(SDF),
XLogP(CDK),2.494
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),58.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.733733821146637
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,965017.7237609479
qed,0.7337338211466368
Chi0,17.062267164498692
Chi1,12.309663088089318
TPSA,58.040000000000006
Chi0n,14.207861120452575
Chi0v,14.207861120452575
Chi1n,8.461323072932116
Chi1v,8.461323072932116
Chi2n,6.178951181005713
Chi2v,6.178951181005713
Chi3n,4.412357153301063
Chi3v,4.412357153301063
Chi4n,2.9428251129817546
Chi4v,2.9428251129817546
MolMR,98.20400000000002
MolWt,332.4110000000001
fr_SH,0
Kappa1,15.655142884809266
Kappa2,6.944170908851787
Kappa3,3.3417709391784007
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,6
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,829.0478711568622
MolLogP,2.3524000000000003
NOCount,6
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.7862500485776187
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,25.06523038934697
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,38.126607337177965
SMR_VSA7,54.727780119305955
SMR_VSA8,0.0
SMR_VSA9,22.775711979393844
fr_Al_OH,0
fr_Ar_NH,0
