DLiP-ID,T006MK
DLiP-Mol-ID,24255
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11NO2/c17-11-5-3-4-10(8-11)9-13-12-6-1-2-7-14(12)16-15(13)18/h1-9,17H,(H,16,18)/b13-9+"
Standard Inchi Key(RDKit),VHVCSZNJCUZDOG-UKTHLTGXSA-N
Canonical SMILES(RDKit),O=C1Nc2ccccc2/C1=C\c1cccc(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),237.258
MW Monoisotopic(RDKit),237.078978592
MolLogP(RDKit),2.8849
XLogP(SDF),
XLogP(CDK),2.695
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.749103083896048
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tubulin dimer
Common Target Pref Name,Tubulin dimer
RDKit Descriptors
Ipc,21256.023144523933
qed,0.7491030838960477
Chi0,12.535169427003234
Chi1,8.737183443017882
TPSA,49.33
Chi0n,9.551614308670455
Chi0v,9.551614308670455
Chi1n,5.653798686407082
Chi1v,5.653798686407082
Chi2n,4.152707175881304
Chi2v,4.152707175881304
Chi3n,2.8912763204235956
Chi3v,2.8912763204235956
