DLiP-ID,T006RA
DLiP-Mol-ID,24457
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H24N4O5/c1-16-5-2-3-8-21(16)29-25(34)28-19-11-9-17(10-12-19)13-22(30)27-20-7-4-6-18(14-20)24(33)26-15-23(31)32/h2-12,14H,13,15H2,1H3,(H,26,33)(H,27,30)(H,31,32)(H2,28,29,34)"
Standard Inchi Key(RDKit),VRIFJRKPGQZHJW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccccc1NC(=O)Nc1ccc(CC(=O)Nc2cccc(C(=O)NCC(=O)O)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),460.49
MW Monoisotopic(RDKit),460.174669868
MolLogP(RDKit),3.63462
XLogP(SDF),
XLogP(CDK),2.278
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),136.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.349613786721927
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,30868964.848883737
qed,0.3496137867219273
Chi0,24.501424753254113
Chi1,16.295734091081684
TPSA,136.63
Chi0n,18.422623550004015
Chi0v,18.422623550004015
Chi1n,10.424401620332263
Chi1v,10.424401620332263
Chi2n,7.473142622009502
Chi2v,7.473142622009502
Chi3n,4.778440958004338
Chi3v,4.778440958004338
Chi4n,3.0904572754042547
Chi4v,3.0904572754042547
MolMR,129.00710000000004
MolWt,460.4900000000002
fr_SH,0
Kappa1,23.99174390925799
Kappa2,11.277661431094304
Kappa3,7.196450173905744
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,0
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1207.9376961499217
MolLogP,3.634620000000001
NOCount,9
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.5217351533594805
SMR_VSA1,24.284676131127995
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,13.344558822616634
SMR_VSA6,22.49512221793157
SMR_VSA7,89.48675929663032
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.7399572192045
NHOHCount,5
PEOE_VSA1,26.37368181086603
PEOE_VSA2,14.383611552215466
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,54.44884259385427
PEOE_VSA8,22.625610315747682
PEOE_VSA9,6.4208216229260096
RingCount,3
SMR_VSA10,40.87693808304362
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,460.1746698679999
NumHDonors,5
PEOE_VSA10,6.544756405912575
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,12.000419800289922
SlogP_VSA1,21.267154416025324
SlogP_VSA2,35.46606305974621
SlogP_VSA3,16.00989599106965
SlogP_VSA4,6.923737199690624
SlogP_VSA5,21.48489165916281
SlogP_VSA6,72.79640482153933
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.421241423215932
EState_VSA2,23.92256735631258
EState_VSA3,11.374772549367124
EState_VSA4,16.814289258077554
EState_VSA5,12.13273413692322
EState_VSA6,36.39820241076966
EState_VSA7,31.18920547353706
EState_VSA8,21.267154416025324
EState_VSA9,5.106527394840706
SlogP_VSA10,21.85669600812251
SlogP_VSA11,0.0
SlogP_VSA12,0.0
