DLiP-ID,T006SO
DLiP-Mol-ID,24507
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H24N4O5S2/c27-21(26-10-8-22(9-11-26)30-12-13-31-22)20(14-16-4-2-1-3-5-16)25-33(28,29)17-6-7-18-19(15-17)24-32-23-18/h1-7,15,20,25H,8-14H2"
Standard Inchi Key(RDKit),VTFLWEKLXCMLCU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(Cc1ccccc1)NS(=O)(=O)c1ccc2nsnc2c1)N1CCC2(CC1)OCCO2
SMILES(SDF),
MW(SDF),
MW(RDKit),488.591
MW Monoisotopic(RDKit),488.118811868
MolLogP(RDKit),1.9464
XLogP(SDF),
XLogP(CDK),2.427
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),110.72
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.564565811738819
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,53089395.532167286
qed,0.564565811738819
Chi0,22.890694289244873
Chi1,15.941020132781027
TPSA,110.72
Chi0n,17.84527871075938
Chi0v,19.478271872614833
Chi1n,10.794704831305197
Chi1v,13.008164822239806
Chi2n,8.211233829087705
Chi2v,10.453661873516456
Chi3n,6.064155963924024
Chi3v,8.090203326955548
Chi4n,4.287462875973999
Chi4v,6.013614501357143
MolMR,122.11950000000004
MolWt,488.5910000000004
fr_SH,0
Kappa1,22.357062542866938
Kappa2,9.069743782955493
Kappa3,4.776626001260809
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1231.919373907646
MolLogP,1.9464000000000001
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3705135945665667
SMR_VSA1,22.686060076000857
SMR_VSA2,0.0
SMR_VSA3,18.369084558135466
SMR_VSA4,0.0
SMR_VSA5,35.986900326014364
SMR_VSA6,26.303276740850986
SMR_VSA7,54.09438803938988
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.6288442096832
NHOHCount,1
PEOE_VSA1,14.373635638450576
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,13.469174827284988
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,30.183374320007832
PEOE_VSA8,25.93115605767717
PEOE_VSA9,29.837434749742226
RingCount,5
SMR_VSA10,38.69205966319022
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,488.11881186799997
NumHDonors,1
PEOE_VSA10,17.075242264380485
PEOE_VSA11,5.7871111525705965
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,66.10419512993336
SlogP_VSA3,30.712375868005513
SlogP_VSA4,0.0
SlogP_VSA5,18.405094737549014
SlogP_VSA6,53.42642002321065
SlogP_VSA7,0.0
SlogP_VSA8,11.033401435232523
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,21.85224313512614
EState_VSA2,17.22348482779529
EState_VSA3,50.17832142193552
