DLiP-ID,T0070Q
DLiP-Mol-ID,24854
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N4O2S/c1-16(26)23(30)29-25-28-22-19(14-8-9-15-20(22)32-25)24(31)27-21(17-10-4-2-5-11-17)18-12-6-3-7-13-18/h2-7,10-13,16,19,21H,8-9,14-15,26H2,1H3,(H,27,31)(H,28,29,30)/t16-,19?/m0/s1"
Standard Inchi Key(RDKit),WKXXKYIQGBPWCP-UCFFOFKASA-N
Canonical SMILES(RDKit),C[C@H](N)C(=O)Nc1nc2c(s1)CCCCC2C(=O)NC(c1ccccc1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),448.592
MW Monoisotopic(RDKit),448.193297136
MolLogP(RDKit),4.1446
XLogP(SDF),
XLogP(CDK),2.62
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),97.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.493743062406434
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,21983429.927743785
qed,0.4937430624064341
Chi0,22.501424753254106
Chi1,15.524877143252588
