DLiP-ID,T0076S
DLiP-Mol-ID,25126
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H26N6O4/c34-25(35)13-23-27(37)33(11-9-17-4-3-10-28-14-17)16-19-12-18(7-8-20(19)30-23)26(36)29-15-24-31-21-5-1-2-6-22(21)32-24/h1-8,10,12,14,23,30H,9,11,13,15-16H2,(H,29,36)(H,31,32)(H,34,35)/t23-/m0/s1"
Standard Inchi Key(RDKit),WWUFFAAECGTHCS-QHCPKHFHSA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H]1Nc2ccc(C(=O)NCc3nc4ccccc4[nH]3)cc2CN(CCc2cccnc2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),498.543
MW Monoisotopic(RDKit),498.201553312
MolLogP(RDKit),2.728
XLogP(SDF),
XLogP(CDK),2.207
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),140.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),37
QED Weighted(RDKit),0.292783065367412
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,310211713.34880596
qed,0.29278306536741194
Chi0,25.777445635193
Chi1,17.957530133630154
TPSA,140.31
Chi0n,19.97733638959967
Chi0v,19.97733638959967
Chi1n,11.968419527602071
Chi1v,11.968419527602071
Chi2n,8.921102796055782
Chi2v,8.921102796055782
Chi3n,6.294881770670865
Chi3v,6.294881770670865
Chi4n,4.4276556282780035
Chi4v,4.4276556282780035
MolMR,136.7273999999999
MolWt,498.54300000000023
fr_SH,0
Kappa1,23.98609871708594
Kappa2,10.486914397433614
Kappa3,5.583196985561384
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1418.8258431181403
MolLogP,2.7280000000000015
NOCount,10
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.3303439565716397
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,25.168633897698435
SMR_VSA4,0.0
SMR_VSA5,31.972996886825133
SMR_VSA6,11.861545009918906
SMR_VSA7,89.50574973247156
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,212.29271841205457
NHOHCount,4
PEOE_VSA1,25.623992854651053
PEOE_VSA2,19.367590073162674
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,53.945927017089666
PEOE_VSA8,36.73403772143186
PEOE_VSA9,23.998979464071105
RingCount,5
SMR_VSA10,34.504452456570945
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,498.20155331200004
NumHDonors,4
PEOE_VSA10,11.866245327147887
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
SlogP_VSA2,55.3286346702482
SlogP_VSA3,29.099408802894803
SlogP_VSA4,0.0
SlogP_VSA5,33.73011778008874
SlogP_VSA6,66.99099075938064
SlogP_VSA7,0.0
SlogP_VSA8,11.033401435232523
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.011146117099809
EState_VSA2,31.32469389345417
EState_VSA3,30.04082029321907
EState_VSA4,22.160304418626513
EState_VSA5,0.0
EState_VSA6,35.49269807946146
EState_VSA7,36.39820241076966
EState_VSA8,25.585512770854287
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,89.99999999999999
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,19.49013894705617
EState_VSA11,0.0
FractionCSP3,0.2222222222222222
VSA_EState10,0.0
fr_C_O_noCOO,2
fr_Nhpyrrole,1
fr_imidazole,1
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-4.7299999999999995
NumHAcceptors,6
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,37
HeavyAtomMolWt,472.3350000000003
MaxEStateIndex,13.217616628747788
MinEStateIndex,-1.0665792168556403
NumHeteroatoms,10
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.135135135135135
FpDensityMorgan2,2.0
FpDensityMorgan3,2.7837837837837838
MaxPartialCharge,0.30547976329615983
MinPartialCharge,-0.4811623153629429
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.217616628747788
MinAbsEStateIndex,0.2353728304362046
NumAliphaticRings,1
NumRotatableBonds,8
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4811623153629429
MinAbsPartialCharge,0.30547976329615983
NumRadicalElectrons,0
NumValenceElectrons,188
fr_para_hydroxylation,2
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,0
Mordred Descriptors
MW,498.2015533120008
MZ,0.6931216931216928
Mi,1.1266784005444614
Mm,0.6588444719324748
Mp,0.6865755916737953
Mv,0.657948242272688
SZ,43.66666666666665
Si,70.98073923430107
Sm,41.50720173174591
Sp,43.25426227544911
Sv,41.450739263179344
nB,0
nC,27
nF,0
nH,26
nI,0
nN,6
nO,4
nP,0
nS,0
nX,0
ABC,29.22673665501375
AMW,7.907961163682552
IC0,1.6264359515251705
IC1,3.9749530087804197
IC2,5.143481113770063
IC3,5.755057701277693
IC4,5.818549764769758
IC5,5.818549764769758
MID,76.39601875327482
Mpe,0.9838157485216307
Mse,1.013387438005064
NdO,3
NdS,0
NsF,0
NsI,0
NtN,0
SMR,136.7273999999999
SdO,37.58370344873913
SdS,0
Spe,61.980392156862735
SsF,0
SsI,0
Sse,63.84340859431903
StN,0
fMF,0.49206349206349204
nBr,0
nCl,0
AMID,2.064757263602022
BIC0,0.257268973502007
BIC1,0.6287564409337435
BIC2,0.8135937385826443
BIC3,0.9103326730229491
BIC4,0.9203758216540466
BIC5,0.9203758216540466
CIC0,4.350843971974746
CIC1,2.002326914719497
CIC2,0.8337988097298537
CIC3,0.2222222222222241
CIC4,0.15873015873015905
CIC5,0.15873015873015905
GGI1,7.5
GGI2,3.7777777777777795
GGI3,2.291666666666667
GGI4,2.211666666666667
GGI5,1.1497222222222219
GGI6,1.0199092970521542
GGI7,0.7249149659863946
GGI8,0.4439799067775258
GGI9,0.3378240740740741
JGI1,0.1829268292682927
JGI2,0.0662768031189084
JGI3,0.038194444444444454
JGI4,0.04095679012345679
JGI5,0.021291152263374486
JGI6,0.018543805400948264
JGI7,0.013424351221970266
JGI8,0.008705488368186777
JGI9,0.0073440016103059605
MIC0,15.389028095137512
MIC1,36.945501822957326
MIC2,45.76142071886245
MIC3,47.07649309367331
MIC4,47.140493093673314
MIC5,47.140493093673314
MPC2,57
MPC3,74
MPC4,96
MPC5,123
MPC6,137
MPC7,158
MPC8,184
MPC9,205
Mare,0.9975873015873018
NaaN,2
NaaO,0
NaaS,0
NdNH,0
NdSe,0
NddC,0
NdsN,0
NsBr,0
NsCl,0
NsLi,0
NsOH,1
NsSH,0
NssO,0
NssS,0
NtCH,0
NtsC,0
RNCG,0.1327626718380527
RPCG,0.08428820851662559
SIC0,0.2721030255134567
SIC1,0.6650103491310039
SIC2,0.8605053100404851
SIC3,0.9628221824866277
SIC4,0.973444416061877
SIC5,0.973444416061877
SaaN,8.593964043431946
SaaO,0
SaaS,0
Sare,62.84800000000001
SdNH,0
SdSe,0
SddC,0
SdsN,0
SsBr,0
SsCl,0
SsLi,0
SsOH,9.354103785468876
SsSH,0
SssO,0
SssS,0
StCH,0
StsC,0
TIC0,102.46546494608575
TIC1,250.42203955316643
TIC2,324.039310167514
TIC3,362.56863518049465
TIC4,366.5686351804947
TIC5,366.5686351804947
Vabc,437.033270324818
WPol,60
apol,72.234618
bpol,34.387382
nRot,8
ABCGG,20.93955871850521
ATS0Z,1548.0
ATS0d,222.0
ATS0i,10240.552087130476
ATS0m,6122.597229000003
ATS0p,96.69305152607396
ATS0s,334.55555555555554
ATS0v,14568.58184962362
ATS1Z,1763.0
ATS1d,281.0
ATS1i,9930.799818408857
ATS1m,6742.929957000004
ATS1p,123.40511970600005
ATS1s,227.38888888888889
ATS1v,18415.57632048264
ATS2Z,2609.0
ATS2d,439.0
ATS2i,17533.155789505145
ATS2m,9798.271781000003
ATS2p,186.15548455424505
ATS2s,395.19444444444434
ATS2v,27011.04495978879
ATS3Z,2940.0
ATS3d,514.0
ATS3i,24758.72893651398
ATS3m,10710.481124
ATS3p,221.3575602747349
ATS3s,493.3055555555556
ATS3v,31212.018434986832
ATS4Z,2822.0
ATS4d,505.0
ATS4i,27956.640255099832
ATS4m,10019.562305999996
ATS4p,218.729102444376
ATS4s,551.3611111111112
ATS4v,30305.047990998086
ATS5Z,2780.0
ATS5d,484.0
ATS5i,26524.997230496025
ATS5m,10037.337518
ATS5p,212.94649052547
ATS5s,577.0833333333335
ATS5v,29283.226790676952
ATS6Z,2780.0
ATS6d,470.0
ATS6i,26574.516318626323
ATS6m,10094.216943000003
ATS6p,208.789428885715
ATS6s,536.4444444444445
ATS6v,29075.722795112826
ATS7Z,2712.0
ATS7d,451.0
ATS7i,25604.08051488837
ATS7m,9811.284821999996
ATS7p,200.55185342947
ATS7s,555.6111111111112
ATS7v,28404.687608152824
ATS8Z,2583.0
ATS8d,427.0
ATS8i,23744.399007416887
ATS8m,9318.426327000001
ATS8p,191.65379419067798
ATS8s,551.6111111111112
ATS8v,27083.794213456084
C1SP1,0
C1SP2,6
C1SP3,3
C2SP1,0
C2SP2,12
C2SP3,3
C3SP2,3
C3SP3,0
C4SP3,0
FCSP3,0.2222222222222222
GGI10,0.25753290480563207
JGI10,0.006131735828705525
JGT10,0.4037954016485936
Kier1,28.52587745389649
Kier2,13.573407202216066
Kier3,7.599707815924032
MAXdO,13.217616628747788
MID_C,56.90282997804151
MID_N,12.503226064813457
MID_O,6.9899627104198405
MID_X,0.0
MID_h,19.493188775233296
MINdO,11.433159248859782
MPC10,227
MWC01,41.0
MWC02,5.2832037287379885
MWC03,6.129050210060545
MWC04,7.002155954403621
MWC05,7.865955413933502
MWC06,8.743372131273969
MWC07,9.615205300012315
MWC08,10.495349236591386
MWC09,11.371811108495248
MWC10,12.253867076026095
NaaCH,11
NaaNH,1
NaaSe,0
NaaaC,2
NaasC,5
NaasN,0
NdCH2,0
NddsN,0
NdsCH,0
NdssC,3
NdssS,0
NsCH3,0
NsNH2,0
NsNH3,0
NsPH2,0
NsSeH,0
NssBH,0
NssBe,0
NssNH,2
NssPH,0
NssSe,0
NsssB,0
NsssN,1
NsssP,0
SLogP,2.7280000000000015
SRW02,4.418840607796598
SRW03,0.0
SRW04,5.739792912179234
SRW05,2.3978952727983707
SRW06,7.237778191923443
SRW07,4.844187086458591
SRW08,8.815073088844464
SRW09,7.034387929915503
SRW10,10.435085921117388
SaaCH,19.95356907437325
SaaNH,3.1867601428496695
SaaSe,0
SaaaC,1.7265031936009603
SaasC,3.435204685464253
SaasN,0
SdCH2,0
SddsN,0
SdsCH,0
SdssC,-1.6349099034236791
SdssS,0
SsCH3,0
SsNH2,0
SsNH3,0
SsPH2,0
SsSeH,0
SssBH,0
SssBe,0
SssNH,5.95840756367445
SssPH,0
SssSe,0
SsssB,0
SsssN,1.6344517295108023
SsssP,0
VE1_A,4.894214516501939
VE1_D,5.979456716352198
VE2_A,0.13227606801356592
VE2_D,0.16160693827978914
VE3_A,2.896386616260498
VE3_D,3.09666253337727
VR1_A,526.8327675647758
VR1_D,266.896105893741
VR2_A,14.238723447696644
VR2_D,7.213408267398405
VR3_A,7.575215988732912
VR3_D,6.895192285822114
WPath,4786
Xc-3d,2.411315597719784
Xc-4d,0.0
Xc-5d,0.4769678865942998
Xc-6d,0.0
Xp-0d,25.777445635193
Xp-1d,17.957530133630154
Xp-2d,16.35158774726399
Xp-3d,13.496812945378514
Xp-4d,11.121062152086205
Xp-5d,9.325206031580562
Xp-6d,6.548459494911925
Xp-7d,4.920887988382369
ZMIC0,120.21975000787978
ZMIC1,56.85924246292555
ZMIC2,30.642319450065713
ZMIC3,25.74173426803138
ZMIC4,25.48920855860281
ZMIC5,25.48920855860281
nAcid,1
nAtom,63
nBase,0
nRing,5
piPC1,4.02535169073515
piPC2,4.6076670661866785
piPC3,5.146767468420836
