DLiP-ID,T0077P
DLiP-Mol-ID,25162
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H24ClN3O4/c1-26-22-8-4-5-17(27-22)13-14-32-18-11-9-16(10-12-18)15-21(24(30)31)28-23(29)19-6-2-3-7-20(19)25/h2-12,21H,13-15H2,1H3,(H,26,27)(H,28,29)(H,30,31)/t21-/m0/s1"
Standard Inchi Key(RDKit),WYPGVVZBOCXSCK-NRFANRHFSA-N
Canonical SMILES(RDKit),CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3ccccc3Cl)C(=O)O)cc2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),453.926
MW Monoisotopic(RDKit),453.145533928
MolLogP(RDKit),3.8239
XLogP(SDF),
XLogP(CDK),2.23
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.431140875922919
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,14490018.833579697
qed,0.431140875922919
Chi0,22.92407448406449
Chi1,15.456728795830728
TPSA,100.55000000000001
Chi0n,17.546660109235887
Chi0v,18.30258905525434
Chi1n,10.09628995097703
Chi1v,10.474254423986258
Chi2n,7.054832631053835
Chi2v,7.462032757794441
Chi3n,4.774918589654353
Chi3v,5.104506810694399
Chi4n,3.070395262623439
Chi4v,3.2919500348203172
MolMR,123.47070000000002
MolWt,453.9260000000001
fr_SH,0
Kappa1,23.090883761461825
Kappa2,11.156112571551544
Kappa3,6.4568360801392926
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1072.8492931915705
MolLogP,3.823900000000002
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.5468482338956653
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,18.88348407499998
SMR_VSA6,18.97134255119644
SMR_VSA7,88.5735020450615
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,190.95364808923594
NHOHCount,3
PEOE_VSA1,20.476967556653413
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,41.932775232540564
PEOE_VSA7,41.96165390246666
PEOE_VSA8,25.583243223377668
PEOE_VSA9,17.19296676995124
RingCount,3
SMR_VSA10,29.295287685370894
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,453.14553392799996
NumHDonors,3
PEOE_VSA10,17.609215440266894
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,5.969305287951849
SlogP_VSA1,15.37044016181271
SlogP_VSA2,41.663385709429335
SlogP_VSA3,17.63618042992384
SlogP_VSA4,0.0
SlogP_VSA5,21.615368162314272
SlogP_VSA6,66.73003775307771
