DLiP-ID,T007A0
DLiP-Mol-ID,25255
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N4O2/c20-18(21)14-4-8-16(9-5-14)24-12-2-1-3-13-25-17-10-6-15(7-11-17)19(22)23/h4-11H,1-3,12-13H2,(H3,20,21)(H3,22,23)"
Standard Inchi Key(RDKit),XDRYMKDFEDOLFX-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),340.427
MW Monoisotopic(RDKit),340.189926008
MolLogP(RDKit),2.88284
XLogP(SDF),
XLogP(CDK),3.958
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),118.2
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.301957821878379
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,S100B/p53
Common Target Pref Name,S100B/p53
RDKit Descriptors
Ipc,399575.77692650224
qed,0.30195782187837944
Chi0,18.07070333293597
Chi1,12.058550648063802
TPSA,118.2
Chi0n,14.125533178756726
Chi0v,14.125533178756726
Chi1n,8.20568323893495
Chi1v,8.20568323893495
Chi2n,5.633688656008782
Chi2v,5.633688656008782
Chi3n,3.656773633650302
Chi3v,3.656773633650302
Chi4n,2.2223793461845025
Chi4v,2.2223793461845025
MolMR,99.75720000000001
MolWt,340.42699999999996
fr_SH,0
Kappa1,18.32055420348871
Kappa2,9.31822503861814
Kappa3,6.176725336147323
fr_ArN,2
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,634.8689612708595
MolLogP,2.8828400000000007
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.5702297558849352
SMR_VSA1,9.473725907600098
SMR_VSA2,10.818567211583044
SMR_VSA3,0.0
SMR_VSA4,11.46733495432437
SMR_VSA5,19.26246486877803
SMR_VSA6,13.213763929025836
SMR_VSA7,59.65783953108687
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,147.320665977906
NHOHCount,6
PEOE_VSA1,20.94106086192447
PEOE_VSA2,10.818567211583044
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,67.79340141647091
PEOE_VSA8,11.126902983393991
PEOE_VSA9,13.213763929025836
RingCount,2
SMR_VSA10,11.671239571514539
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,340.189926008
NumHDonors,4
PEOE_VSA10,23.17026323808235
