DLiP-ID,T007PP
DLiP-Mol-ID,25931
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H15ClN2O6/c1-12-3-2-4-14(9-12)26-21(28)17(20(27)25-23(26)31)11-15-6-8-19(32-15)13-5-7-16(22(29)30)18(24)10-13/h2-11H,1H3,(H,29,30)(H,25,27,31)/b17-11-"
Standard Inchi Key(RDKit),YNFJTHRUFFSVBU-BOPFTXTBSA-N
Canonical SMILES(RDKit),Cc1cccc(N2C(=O)NC(=O)/C(=C/c3ccc(-c4ccc(C(=O)O)c(Cl)c4)o3)C2=O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),450.834
MW Monoisotopic(RDKit),450.06186388
MolLogP(RDKit),4.27302
XLogP(SDF),
XLogP(CDK),3.727
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),116.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.452457220975858
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,TNFa trimer or TNFa/TNFR
Common Target Pref Name,TNFA/TNFA
RDKit Descriptors
Ipc,16596031.717449607
qed,0.45245722097585805
Chi0,22.990834873703708
Chi1,15.240091198415861
TPSA,116.92000000000002
Chi0n,16.58713580822472
Chi0v,17.343064754243173
Chi1n,9.355589247367208
Chi1v,9.733553720376435
Chi2n,6.998648789882661
Chi2v,7.405848916623267
Chi3n,4.75892384805421
Chi3v,5.071632856542508
Chi4n,3.2286381315307753
Chi4v,3.490014311986465
MolMR,116.29400000000001
MolWt,450.83400000000023
fr_SH,0
Kappa1,21.0769372340908
Kappa2,8.162461943735048
Kappa3,3.908662358294516
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1323.5257411707016
MolLogP,4.2730200000000025
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.661838592401106
SMR_VSA1,28.70182706818134
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,4.899909730850478
SMR_VSA7,82.08019186223353
SMR_VSA8,0.0
SMR_VSA9,11.323698910571437
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,1
fr_imide,2
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,186.2523656438288
NHOHCount,2
PEOE_VSA1,9.523678331894054
PEOE_VSA2,14.905862972149976
PEOE_VSA3,14.48898409899412
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.800041095617345
PEOE_VSA7,54.96141120899116
PEOE_VSA8,5.563451491696996
PEOE_VSA9,16.273471080121883
RingCount,4
SMR_VSA10,47.179125530742894
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,450.0618638799999
NumHDonors,2
PEOE_VSA10,17.09359936781815
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,11.814359458703011
PEOE_VSA14,12.000419800289922
SlogP_VSA1,10.216698334856808
SlogP_VSA2,28.92130665383364
SlogP_VSA3,9.589074368143644
SlogP_VSA4,6.923737199690624
SlogP_VSA5,21.681687586340253
SlogP_VSA6,64.58755908327711
SlogP_VSA7,5.022633313741326
SlogP_VSA8,17.399719017405317
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,23.81477925899293
EState_VSA2,21.919436754382033
EState_VSA3,17.011085185255
EState_VSA4,10.463361222547473
EState_VSA5,30.34148838068032
EState_VSA6,24.26546827384644
EState_VSA7,12.990104268152233
EState_VSA8,5.316788604006331
EState_VSA9,21.124618222126568
SlogP_VSA10,10.481923458755384
SlogP_VSA11,0.0
SlogP_VSA12,11.600939890232516
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,5.693238982321324
VSA_EState9,76.41336466030641
fr_aldehyde,0
fr_barbitur,1
fr_bicyclic,0
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
