DLiP-ID,T007SP
DLiP-Mol-ID,26063
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H28N4O5/c1-29-23(32-10-8-19-6-4-16-3-2-9-26-25(16)27-19)14-20(28-29)11-18(13-24(30)31)17-5-7-21-22(12-17)34-15-33-21/h4-7,12,14,18H,2-3,8-11,13,15H2,1H3,(H,26,27)(H,30,31)"
Standard Inchi Key(RDKit),YTAHOLPCQRGOAW-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cn1nc(CC(CC(=O)O)c2ccc3c(c2)OCO3)cc1OCCc1ccc2c(n1)NCCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),464.522
MW Monoisotopic(RDKit),464.205969996
MolLogP(RDKit),3.3244
XLogP(SDF),
XLogP(CDK),3.065
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),107.73
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.496618644149643
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,87840812.27960357
qed,0.49661864414964324
Chi0,23.49298858481683
Chi1,16.5468465311072
TPSA,107.73000000000002
Chi0n,19.120153677675045
Chi0v,19.120153677675045
Chi1n,11.546775980876093
Chi1v,11.546775980876093
Chi2n,8.648239679859103
Chi2v,8.648239679859103
Chi3n,6.192030077864623
Chi3v,6.192030077864623
Chi4n,4.447995802440089
Chi4v,4.447995802440089
MolMR,124.71750000000007
MolWt,464.52200000000033
fr_SH,0
Kappa1,22.062563269220522
Kappa2,9.623882346878302
Kappa3,4.927089296986245
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1192.0442695266254
MolLogP,3.3244000000000016
NOCount,9
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.23084302177466
SMR_VSA1,24.111653440312676
SMR_VSA2,0.0
SMR_VSA3,14.76446326439343
SMR_VSA4,7.04767198267719
SMR_VSA5,38.02201416079144
SMR_VSA6,25.261369280531653
SMR_VSA7,58.91296138386057
SMR_VSA8,0.0
SMR_VSA9,17.379012003003183
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.22142764520507
NHOHCount,2
PEOE_VSA1,24.63390486024718
PEOE_VSA2,4.794537184071822
PEOE_VSA3,9.665781456092393
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,48.58846905755685
PEOE_VSA8,37.69145112098724
PEOE_VSA9,18.72163158228739
RingCount,5
SMR_VSA10,11.787168065786878
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,464.205969996
NumHDonors,2
PEOE_VSA10,5.817862777835028
PEOE_VSA11,11.49902366656781
PEOE_VSA12,12.6729306425352
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,19.527377465406477
SlogP_VSA2,45.784876623711305
SlogP_VSA3,31.10467403552704
SlogP_VSA4,0.0
SlogP_VSA5,41.274308265104324
SlogP_VSA6,36.39820241076966
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,19.13166997518723
EState_VSA3,36.82753721336812
EState_VSA4,42.15556991099355
EState_VSA5,5.563451491696996
EState_VSA6,4.681802935145185
EState_VSA7,31.313140256523628
EState_VSA8,22.548204549230586
EState_VSA9,19.194567382347355
SlogP_VSA10,5.817862777835028
SlogP_VSA11,17.379012003003183
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,1.689135328322738
VSA_EState9,74.6441980050106
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,2
fr_priamide,0
fr_pyridine,1
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.901064578912528
EState_VSA11,0.0
FractionCSP3,0.4
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-3.7499999999999996
NumHAcceptors,8
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,34
HeavyAtomMolWt,436.29800000000023
MaxEStateIndex,11.528238558362446
MinEStateIndex,-0.8591567306185925
NumHeteroatoms,9
fr_aryl_methyl,2
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.2058823529411764
FpDensityMorgan2,2.088235294117647
FpDensityMorgan3,2.9705882352941178
MaxPartialCharge,0.3034752880526476
MinPartialCharge,-0.481214141754288
NumAromaticRings,3
fr_unbrch_alkane,0
MaxAbsEStateIndex,11.528238558362446
MinAbsEStateIndex,0.009481976333874709
NumAliphaticRings,2
NumRotatableBonds,9
NumSaturatedRings,0
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
