DLiP-ID,T007WR
DLiP-Mol-ID,26238
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H31BrN4O4/c23-18-10-17(12-25-13-18)19(11-21(29)30)26-22(31)16-2-1-9-27(14-16)20(28)4-3-15-5-7-24-8-6-15/h10,12-13,15-16,19,24H,1-9,11,14H2,(H,26,31)(H,29,30)/t16-,19+/m1/s1"
Standard Inchi Key(RDKit),ZCBCTVUDWUBKKH-APWZRJJASA-N
Canonical SMILES(RDKit),O=C(O)C[C@H](NC(=O)[C@@H]1CCCN(C(=O)CCC2CCNCC2)C1)c1cncc(Br)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),495.418
MW Monoisotopic(RDKit),494.152867572
MolLogP(RDKit),2.4945
XLogP(SDF),
XLogP(CDK),0.997
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),111.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.511257814474068
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,8602335.78693151
qed,0.5112578144740682
Chi0,22.216967702877938
Chi1,14.91872399336994
TPSA,111.63000000000001
Chi0n,17.686626339090473
Chi0v,19.272622878205176
Chi1n,11.03185082654833
Chi1v,11.824849096105682
Chi2n,8.506485944463146
Chi2v,9.422161473254837
Chi3n,6.1936943138237535
Chi3v,6.627364468792805
Chi4n,4.409040673783852
Chi4v,4.791586632754299
MolMR,119.20520000000005
MolWt,495.4180000000002
fr_SH,0
Kappa1,23.658688865764827
Kappa2,11.571428571428571
Kappa3,7.277201076509035
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,784.5293351169607
MolLogP,2.4945000000000004
NOCount,8
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.553231768708812
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,20.517465459810346
SMR_VSA4,11.835812092322787
SMR_VSA5,50.987592189630035
SMR_VSA6,26.1790256236503
SMR_VSA7,28.49622521921717
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,190.84931043351548
NHOHCount,3
PEOE_VSA1,20.640014333703846
PEOE_VSA2,19.367590073162674
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,78.67128943072454
PEOE_VSA8,36.37674109380973
PEOE_VSA9,18.380568498235363
RingCount,3
SMR_VSA10,33.71360864460421
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
