DLiP-ID,T007XI
DLiP-Mol-ID,26266
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H16O5/c1-17-10-7-5-6-9-8-11(18-2)14(19-3)15(20-4)12(9)13(10)16/h5-8H,1-4H3"
Standard Inchi Key(RDKit),ZEEDZJJOWWIIFH-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc2cccc(OC)c(=O)c2c(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),276.288
MW Monoisotopic(RDKit),276.099773612
MolLogP(RDKit),2.2344
XLogP(SDF),
XLogP(CDK),2.577
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),53.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.856811827612103
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bcl-2 and Bcl-XL with BAX; BAK and BID
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,37001.29796203962
qed,0.8568118276121025
Chi0,14.698306133819765
Chi1,9.671763717646721
TPSA,53.99000000000001
Chi0n,11.85064252907782
Chi0v,11.85064252907782
Chi1n,5.974981093061029
Chi1v,5.974981093061029
Chi2n,4.032833348467876
Chi2v,4.032833348467876
Chi3n,3.0546664673802266
Chi3v,3.0546664673802266
Chi4n,2.139602548543511
Chi4v,2.139602548543511
MolMR,76.42600000000004
MolWt,276.28799999999995
fr_SH,0
Kappa1,13.989202951819792
Kappa2,5.690057101989066
Kappa3,2.110938669162029
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,693.8170849520935
MolLogP,2.2344
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,3.033313900087707
SMR_VSA1,18.947451815200196
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,28.439190165110134
SMR_VSA7,34.48879584981881
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,4
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,116.1990266868221
NHOHCount,0
PEOE_VSA1,18.947451815200196
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,17.518958351388015
