DLiP-ID,T007YZ
DLiP-Mol-ID,26344
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H28N4O5/c1-3-35-21-10-5-4-9-20(21)31-24(28-19-8-6-11-22(34-2)25(19)27(31)33)18-29-13-15-30(16-14-29)26(32)23-12-7-17-36-23/h4-12,17H,3,13-16,18H2,1-2H3"
Standard Inchi Key(RDKit),ZIOLELFAZFDFNB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccccc1-n1c(CN2CCN(C(=O)c3ccco3)CC2)nc2cccc(OC)c2c1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),488.544
MW Monoisotopic(RDKit),488.205969996
MolLogP(RDKit),3.344
XLogP(SDF),
XLogP(CDK),3.105
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),90.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.394125988707005
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,253258531.30899566
qed,0.39412598870700566
Chi0,25.070338854006458
Chi1,17.600886748174155
TPSA,90.03999999999999
Chi0n,20.346239213334695
Chi0v,20.346239213334695
Chi1n,11.963395206285133
Chi1v,11.963395206285133
Chi2n,8.469380086846892
Chi2v,8.469380086846892
Chi3n,6.311217886809589
Chi3v,6.311217886809589
Chi4n,4.554948789563259
Chi4v,4.554948789563259
MolMR,134.94949999999997
MolWt,488.54400000000027
fr_SH,0
Kappa1,23.62345523973014
Kappa2,10.249493326102577
Kappa3,4.4480876610750295
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1422.1307410923425
MolLogP,3.344000000000002
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.506669170333974
SMR_VSA1,18.685414028725265
SMR_VSA2,0.0
SMR_VSA3,19.35089763043952
SMR_VSA4,0.0
SMR_VSA5,13.4684936056032
SMR_VSA6,39.895705129440756
SMR_VSA7,82.79892260779175
SMR_VSA8,0.0
SMR_VSA9,17.186409941251373
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,1
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,208.0193026514737
NHOHCount,0
PEOE_VSA1,18.790786575503923
PEOE_VSA2,19.056083746785475
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,43.321939610460284
PEOE_VSA8,26.1790256236503
PEOE_VSA9,37.7286858996419
RingCount,5
SMR_VSA10,16.810104661432565
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,488.2059699959999
NumHDonors,0
PEOE_VSA10,22.709652379032534
PEOE_VSA11,5.760247418874442
PEOE_VSA12,0.0
PEOE_VSA13,11.466446624403513
PEOE_VSA14,0.0
SlogP_VSA1,15.032992802652105
SlogP_VSA2,65.15378248923177
SlogP_VSA3,6.544756405912575
SlogP_VSA4,0.0
SlogP_VSA5,23.302926300636816
SlogP_VSA6,70.07215473291873
SlogP_VSA7,0.0
SlogP_VSA8,16.59031120676462
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.466446624403513
EState_VSA3,79.00465078428257
EState_VSA4,0.0
EState_VSA5,6.263162995639057
EState_VSA6,34.7759081253042
EState_VSA7,43.321939610460284
EState_VSA8,4.899909730850478
EState_VSA9,18.874855365600652
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,6.8859942120297735
VSA_EState9,74.61400578797024
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,9.589074368143644
EState_VSA11,0.0
FractionCSP3,0.2962962962962963
VSA_EState10,0.0
fr_C_O_noCOO,1
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,1
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-4.109999999999999
NumHAcceptors,8
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,36
HeavyAtomMolWt,460.32000000000033
MaxEStateIndex,13.905928563811099
MinEStateIndex,-0.21644800275482057
NumHeteroatoms,9
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,0
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
FpDensityMorgan1,1.0
FpDensityMorgan2,1.7777777777777777
FpDensityMorgan3,2.5
MaxPartialCharge,0.2891330577025683
MinPartialCharge,-0.4958391481978569
NumAromaticRings,4
fr_unbrch_alkane,0
MaxAbsEStateIndex,13.905928563811099
MinAbsEStateIndex,0.11284686224808538
NumAliphaticRings,1
NumRotatableBonds,7
NumSaturatedRings,1
fr_Ndealkylation1,0
fr_Ndealkylation2,0
fr_benzodiazepine,0
fr_ketone_Topliss,0
fr_term_acetylene,0
fr_alkyl_carbamate,0
fr_dihydropyridine,0
MaxAbsPartialCharge,0.4958391481978569
MinAbsPartialCharge,0.2891330577025683
NumRadicalElectrons,0
NumValenceElectrons,186
fr_para_hydroxylation,2
NumAromaticCarbocycles,2
fr_nitro_arom_nonortho,0
fr_phenol_noOrthoHbond,0
NumAliphaticCarbocycles,0
NumAromaticHeterocycles,2
NumSaturatedCarbocycles,0
NumAliphaticHeterocycles,1
NumSaturatedHeterocycles,1
Mordred Descriptors
MW,488.2059699960007
MZ,0.6718750000000001
Mi,1.1253740381028923
Mm,0.6355424194488384
Mp,0.6752451721556885
Mv,0.6436162349888054
SZ,43.00000000000001
Si,72.0239384385851
Sm,40.674714844725656
Sp,43.21569101796406
Sv,41.191439039283544
nB,0
nC,27
nF,0
nH,28
nI,0
nN,4
nO,5
nP,0
nS,0
nX,0
ABC,28.139089816265326
AMW,7.628218281187511
IC0,1.5844134242115095
IC1,3.56934150796907
