DLiP-ID,T0082J
DLiP-Mol-ID,26491
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H18N2O2S/c1-11-5-7-12(8-6-11)13-17(15,16)14-9-3-2-4-10-14/h5-8,13H,2-4,9-10H2,1H3"
Standard Inchi Key(RDKit),ZPFSBNWSSDXIRR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(NS(=O)(=O)N2CCCCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),254.355
MW Monoisotopic(RDKit),254.108898816
MolLogP(RDKit),2.13762
XLogP(SDF),
XLogP(CDK),2.13
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),49.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.898069786320172
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,7644.813943417447
qed,0.8980697863201719
Chi0,12.303118619434356
Chi1,8.077316827624754
TPSA,49.410000000000004
Chi0n,10.01689344958279
Chi0v,10.833390030510516
Chi1n,5.923854401479915
Chi1v,7.363917730280555
Chi2n,4.4328332710054825
Chi2v,6.103487875388051
Chi3n,2.953342529536476
Chi3v,4.491982832289241
Chi4n,1.9403334035188429
Chi4v,3.242290429531389
MolMR,69.14550000000004
MolWt,254.35499999999996
fr_SH,0
Kappa1,12.388578441719476
Kappa2,5.059139367171523
Kappa3,3.199742178062926
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,461.783925345171
MolLogP,2.13762
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0802032724510684
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,4.305215991296234
SMR_VSA4,0.0
SMR_VSA5,26.186202068468653
SMR_VSA6,17.811607676277237
SMR_VSA7,29.828919765543436
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,102.82107390920238
NHOHCount,1
PEOE_VSA1,0.0
PEOE_VSA2,4.722094864452088
PEOE_VSA3,0.0
PEOE_VSA4,12.72301297562517
PEOE_VSA5,0.0
PEOE_VSA6,24.117007251546227
PEOE_VSA7,31.898114582465862
PEOE_VSA8,18.776899086508713
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,15.896715445081227
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,254.108898816
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,10.209329170397666
SlogP_VSA1,4.722094864452088
SlogP_VSA2,25.812525787450323
SlogP_VSA3,10.209329170397666
SlogP_VSA4,6.923737199690624
SlogP_VSA5,24.825916360475023
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
