DLiP-ID,T0086X
DLiP-Mol-ID,21930
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H28N4O2/c1-16(2)12-21(9-10-26)13-20(14-23-24-22)27-25(21)15-17-7-8-18-5-3-4-6-19(18)11-17/h3-8,11,16,20,26H,9-10,12-15H2,1-2H3/t20-,21-/m1/s1"
Standard Inchi Key(RDKit),ZYFUGIKJSBBBQC-NHCUHLMSSA-N
Canonical SMILES(RDKit),CC(C)C[C@]1(CCO)C[C@H](CN=[N+]=[N-])ON1Cc1ccc2ccccc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),368.481
MW Monoisotopic(RDKit),368.221226136
MolLogP(RDKit),4.82330000000001
XLogP(SDF),
XLogP(CDK),4.597
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.46
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.411743501287635
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,ESX/Sur-2 (DRIP130)
Common Target Pref Name,ELF3/MED23
RDKit Descriptors
Ipc,1393429.3839844123
qed,0.41174350128763487
Chi0,19.277810114122516
Chi1,13.058810516490535
TPSA,81.46000000000001
Chi0n,16.083109377789576
Chi0v,16.083109377789576
Chi1n,9.599609655077211
Chi1v,9.599609655077211
Chi2n,7.8590168486811605
Chi2v,7.8590168486811605
Chi3n,5.266962429109596
Chi3v,5.266962429109596
Chi4n,4.270039619260262
Chi4v,4.270039619260262
MolMR,106.88280000000005
MolWt,368.48100000000005
fr_SH,0
Kappa1,19.646065681416836
Kappa2,8.718836317656626
Kappa3,4.599182731574507
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,2
fr_azo,0
BertzCT,818.688707345452
MolLogP,4.823300000000005
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8765108301888551
SMR_VSA1,9.94411597857734
SMR_VSA2,0.0
SMR_VSA3,5.063217724965349
SMR_VSA4,11.032156171790792
SMR_VSA5,51.297587314203504
SMR_VSA6,13.151638370425493
SMR_VSA7,58.470861616965976
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,1
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,159.87697292622462
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,4.8375885837366335
PEOE_VSA3,0.0
PEOE_VSA4,5.063217724965349
PEOE_VSA5,0.0
PEOE_VSA6,55.3599269357803
PEOE_VSA7,53.11376690281287
PEOE_VSA8,18.06335001767796
PEOE_VSA9,18.187648046044224
RingCount,3
SMR_VSA10,10.772448428929591
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,368.221226136
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,34.9642751303632
SlogP_VSA3,11.382344989649209
SlogP_VSA4,5.917906046161393
SlogP_VSA5,38.673390759856275
SlogP_VSA6,47.57881960486067
SlogP_VSA7,0.0
SlogP_VSA8,21.21528907496731
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,18.249773604644567
EState_VSA3,25.428240480912553
EState_VSA4,12.841643245852019
EState_VSA5,16.335899920626588
EState_VSA6,0.0
EState_VSA7,17.19595186188857
EState_VSA8,54.20527151457116
EState_VSA9,10.368717582521885
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,0.0
VSA_EState9,59.41666666666668
fr_aldehyde,0
fr_barbitur,0
fr_bicyclic,1
fr_priamide,0
fr_pyridine,0
fr_thiazole,0
fr_thiocyan,0
EState_VSA10,5.106527394840706
EState_VSA11,0.0
FractionCSP3,0.5238095238095238
VSA_EState10,0.0
fr_C_O_noCOO,0
fr_Nhpyrrole,0
fr_imidazole,0
fr_phos_acid,0
fr_piperdine,0
fr_piperzine,0
fr_sulfonamd,0
fr_tetrazole,0
fr_thiophene,0
HallKierAlpha,-2.1099999999999994
NumHAcceptors,4
fr_morpholine,0
fr_nitro_arom,0
fr_phos_ester,0
HeavyAtomCount,27
HeavyAtomMolWt,340.2570000000002
MaxEStateIndex,9.72813562773339
MinEStateIndex,-0.24582931783824669
NumHeteroatoms,6
fr_aryl_methyl,0
fr_isothiocyan,0
fr_Al_OH_noTert,1
fr_alkyl_halide,0
fr_allylic_oxid,0
fr_prisulfonamd,0
